name                                                  old time/op            new time/op            delta
ExecutionPaths/prefetch-16-sequential/lease=5s-2                  1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=5s-2                 1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=5s-2                1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=5s-2                            1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=5s-2                          0.01 ± 0%              0.01 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1000/lease=5s-2                         0.00 ± 0%              0.00 ± 0%     ~     (all equal)
ExecutionPaths/single/lease=10s-2                                 1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=10s-2                 1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=10s-2                1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=10s-2               1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=10s-2                           1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=10s-2                         0.01 ± 0%              0.01 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1000/lease=10s-2                        0.00 ± 0%              0.00 ± 0%     ~     (all equal)
ExecutionPaths/single/lease=5m0s-2                                1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=5m0s-2                1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=5m0s-2               1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=5m0s-2              1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=5m0s-2                          1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=5m0s-2                        0.01 ± 0%              0.01 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1000/lease=5m0s-2                       0.00 ± 0%              0.00 ± 0%     ~     (all equal)

name                                                  old handler-calls/job  new handler-calls/job  delta
ExecutionPaths/single/lease=1s-2                                  1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=1s-2                  1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=1s-2                 1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=1s-2                1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=1s-2                            1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=1s-2                          0.01 ± 0%              0.01 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1000/lease=1s-2                         0.00 ± 0%              0.00 ± 0%     ~     (all equal)
ExecutionPaths/single/lease=5s-2                                  1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=5s-2                  1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=5s-2                 1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=5s-2                1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=5s-2                            1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=5s-2                          0.01 ± 0%              0.01 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1000/lease=5s-2                         0.00 ± 0%              0.00 ± 0%     ~     (all equal)
ExecutionPaths/single/lease=10s-2                                 1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=10s-2                 1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=10s-2                1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=10s-2               1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=10s-2                           1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=10s-2                         0.01 ± 0%              0.01 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1000/lease=10s-2                        0.00 ± 0%              0.00 ± 0%     ~     (all equal)
ExecutionPaths/single/lease=5m0s-2                                1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=5m0s-2                1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=5m0s-2               1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=5m0s-2              1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=5m0s-2                          1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=5m0s-2                        0.01 ± 0%              0.01 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1000/lease=5m0s-2                       0.00 ± 0%              0.00 ± 0%     ~     (all equal)

name                                                  old lease-calls/job    new lease-calls/job    delta
ExecutionPaths/single/lease=1s-2                                  1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=1s-2                  0.06 ± 0%              0.06 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=1s-2                 0.01 ± 0%              0.01 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=1s-2                0.00 ± 0%              0.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=1s-2                            1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=1s-2                          0.01 ± 0%              0.01 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1000/lease=1s-2                         0.00 ± 0%              0.00 ± 0%     ~     (all equal)
ExecutionPaths/single/lease=5s-2                                  1.00 ± 0%              1.00 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=5s-2                  0.06 ± 0%              0.06 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-100-sequential/lease=5s-2                 0.01 ± 0%              0.01 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=5s-2                0.00 ± 0%              0.00 ± 0%     ~     (all equal)
